name_zagr;x;y
Ko-109-549;7549000;5109000
Ko-110-549;7549000;5110000
Ko-111-549;7549000;5111000
Ko-112-549;7549000;5112000
Ko-113-549;7549000;5113000
Ko-114-549;7549000;5114000
Ko-115-549;7549000;5115000
Ko-116-549;7549000;5116000
Ko-117-549;7549000;5117000
Ko-085-550;7550000;5085000
Ko-086-550;7550000;5086000
Ko-087-550;7550000;5087000
Ko-088-550;7550000;5088000
Ko-089-550;7550000;5089000
Ko-090-550;7550000;5090000
Ko-091-550;7550000;5091000
Ko-092-550;7550000;5092000
Ko-093-550;7550000;5093000
Ko-094-550;7550000;5094000
Ko-095-550;7550000;5095000
Ko-096-550;7550000;5096000
Ko-097-550;7550000;5097000
Ko-098-550;7550000;5098000
Ko-099-550;7550000;5099000
Ko-100-550;7550000;5100000
Ko-101-550;7550000;5101000
Ko-102-550;7550000;5102000
Ko-103-550;7550000;5103000
Ko-104-550;7550000;5104000
Ko-105-550;7550000;5105000
Ko-106-550;7550000;5106000
Ko-107-550;7550000;5107000
Ko-108-550;7550000;5108000
Ko-109-550;7550000;5109000
Ko-110-550;7550000;5110000
Ko-111-550;7550000;5111000
Ko-112-550;7550000;5112000
Ko-113-550;7550000;5113000
Ko-114-550;7550000;5114000
Ko-115-550;7550000;5115000
Ko-116-550;7550000;5116000
Ko-117-550;7550000;5117000
Ko-084-551;7551000;5084000
Ko-085-551;7551000;5085000
Ko-086-551;7551000;5086000
Ko-087-551;7551000;5087000
Ko-088-551;7551000;5088000
Ko-089-551;7551000;5089000
Ko-090-551;7551000;5090000
Ko-091-551;7551000;5091000
Ko-092-551;7551000;5092000
Ko-093-551;7551000;5093000
Ko-094-551;7551000;5094000
Ko-095-551;7551000;5095000
Ko-096-551;7551000;5096000
Ko-097-551;7551000;5097000
Ko-098-551;7551000;5098000
Ko-099-551;7551000;5099000
Ko-100-551;7551000;5100000
Ko-101-551;7551000;5101000
Ko-102-551;7551000;5102000
Ko-103-551;7551000;5103000
Ko-104-551;7551000;5104000
Ko-105-551;7551000;5105000
Ko-106-551;7551000;5106000
Ko-107-551;7551000;5107000
Ko-108-551;7551000;5108000
Ko-109-551;7551000;5109000
Ko-110-551;7551000;5110000
Ko-111-551;7551000;5111000
Ko-112-551;7551000;5112000
Ko-113-551;7551000;5113000
Ko-114-551;7551000;5114000
Ko-115-551;7551000;5115000
Ko-116-551;7551000;5116000
Ko-084-552;7552000;5084000
Ko-085-552;7552000;5085000
Ko-086-552;7552000;5086000
Ko-087-552;7552000;5087000
Ko-088-552;7552000;5088000
Ko-089-552;7552000;5089000
Ko-090-552;7552000;5090000
Ko-091-552;7552000;5091000
Ko-092-552;7552000;5092000
Ko-093-552;7552000;5093000
Ko-094-552;7552000;5094000
Ko-095-552;7552000;5095000
Ko-096-552;7552000;5096000
Ko-097-552;7552000;5097000
Ko-098-552;7552000;5098000
Ko-099-552;7552000;5099000
Ko-100-552;7552000;5100000
Ko-101-552;7552000;5101000
Ko-102-552;7552000;5102000
Ko-103-552;7552000;5103000
Ko-104-552;7552000;5104000
Ko-105-552;7552000;5105000
Ko-106-552;7552000;5106000
Ko-107-552;7552000;5107000
Ko-108-552;7552000;5108000
Ko-109-552;7552000;5109000
Ko-110-552;7552000;5110000
Ko-111-552;7552000;5111000
Ko-112-552;7552000;5112000
Ko-113-552;7552000;5113000
Ko-114-552;7552000;5114000
Ko-115-552;7552000;5115000
Ko-116-552;7552000;5116000
Ko-084-553;7553000;5084000
Ko-085-553;7553000;5085000
Ko-086-553;7553000;5086000
Ko-087-553;7553000;5087000
Ko-088-553;7553000;5088000
Ko-089-553;7553000;5089000
Ko-090-553;7553000;5090000
Ko-091-553;7553000;5091000
Ko-092-553;7553000;5092000
Ko-093-553;7553000;5093000
Ko-094-553;7553000;5094000
Ko-095-553;7553000;5095000
Ko-096-553;7553000;5096000
Ko-097-553;7553000;5097000
Ko-098-553;7553000;5098000
Ko-099-553;7553000;5099000
Ko-100-553;7553000;5100000
Ko-101-553;7553000;5101000
Ko-102-553;7553000;5102000
Ko-103-553;7553000;5103000
Ko-104-553;7553000;5104000
Ko-105-553;7553000;5105000
Ko-106-553;7553000;5106000
Ko-107-553;7553000;5107000
Ko-108-553;7553000;5108000
Ko-109-553;7553000;5109000
Ko-110-553;7553000;5110000
Ko-111-553;7553000;5111000
Ko-112-553;7553000;5112000
Ko-113-553;7553000;5113000
Ko-114-553;7553000;5114000
Ko-115-553;7553000;5115000
Ko-116-553;7553000;5116000
Ko-083-554;7554000;5083000
Ko-084-554;7554000;5084000
Ko-085-554;7554000;5085000
Ko-086-554;7554000;5086000
Ko-087-554;7554000;5087000
Ko-088-554;7554000;5088000
Ko-089-554;7554000;5089000
Ko-090-554;7554000;5090000
Ko-091-554;7554000;5091000
Ko-092-554;7554000;5092000
Ko-093-554;7554000;5093000
Ko-094-554;7554000;5094000
Ko-095-554;7554000;5095000
Ko-096-554;7554000;5096000
Ko-097-554;7554000;5097000
Ko-098-554;7554000;5098000
Ko-099-554;7554000;5099000
Ko-100-554;7554000;5100000
Ko-101-554;7554000;5101000
Ko-102-554;7554000;5102000
Ko-103-554;7554000;5103000
Ko-104-554;7554000;5104000
Ko-105-554;7554000;5105000
Ko-106-554;7554000;5106000
Ko-107-554;7554000;5107000
Ko-108-554;7554000;5108000
Ko-109-554;7554000;5109000
Ko-110-554;7554000;5110000
Ko-111-554;7554000;5111000
Ko-112-554;7554000;5112000
Ko-113-554;7554000;5113000
Ko-114-554;7554000;5114000
Ko-115-554;7554000;5115000
Ko-083-555;7555000;5083000
Ko-084-555;7555000;5084000
Ko-085-555;7555000;5085000
Ko-086-555;7555000;5086000
Ko-087-555;7555000;5087000
Ko-088-555;7555000;5088000
Ko-089-555;7555000;5089000
Ko-090-555;7555000;5090000
Ko-091-555;7555000;5091000
Ko-092-555;7555000;5092000
Ko-093-555;7555000;5093000
Ko-094-555;7555000;5094000
Ko-095-555;7555000;5095000
Ko-096-555;7555000;5096000
Ko-097-555;7555000;5097000
Ko-098-555;7555000;5098000
Ko-099-555;7555000;5099000
Ko-100-555;7555000;5100000
Ko-101-555;7555000;5101000
Ko-102-555;7555000;5102000
Ko-103-555;7555000;5103000
Ko-104-555;7555000;5104000
Ko-105-555;7555000;5105000
Ko-106-555;7555000;5106000
Ko-107-555;7555000;5107000
Ko-108-555;7555000;5108000
Ko-109-555;7555000;5109000
Ko-110-555;7555000;5110000
Ko-111-555;7555000;5111000
Ko-112-555;7555000;5112000
Ko-113-555;7555000;5113000
Ko-114-555;7555000;5114000
Ko-115-555;7555000;5115000
Ko-083-556;7556000;5083000
Ko-084-556;7556000;5084000
Ko-085-556;7556000;5085000
Ko-086-556;7556000;5086000
Ko-087-556;7556000;5087000
Ko-088-556;7556000;5088000
Ko-089-556;7556000;5089000
Ko-090-556;7556000;5090000
Ko-091-556;7556000;5091000
Ko-092-556;7556000;5092000
Ko-093-556;7556000;5093000
Ko-094-556;7556000;5094000
Ko-095-556;7556000;5095000
Ko-096-556;7556000;5096000
Ko-097-556;7556000;5097000
Ko-098-556;7556000;5098000
Ko-099-556;7556000;5099000
Ko-100-556;7556000;5100000
Ko-101-556;7556000;5101000
Ko-102-556;7556000;5102000
Ko-103-556;7556000;5103000
Ko-104-556;7556000;5104000
Ko-105-556;7556000;5105000
Ko-106-556;7556000;5106000
Ko-107-556;7556000;5107000
Ko-108-556;7556000;5108000
Ko-109-556;7556000;5109000
Ko-110-556;7556000;5110000
Ko-111-556;7556000;5111000
Ko-112-556;7556000;5112000
Ko-113-556;7556000;5113000
Ko-114-556;7556000;5114000
Ko-115-556;7556000;5115000
Ko-082-557;7557000;5082000
Ko-083-557;7557000;5083000
Ko-084-557;7557000;5084000
Ko-085-557;7557000;5085000
Ko-086-557;7557000;5086000
Ko-087-557;7557000;5087000
Ko-088-557;7557000;5088000
Ko-089-557;7557000;5089000
Ko-090-557;7557000;5090000
Ko-091-557;7557000;5091000
Ko-092-557;7557000;5092000
Ko-093-557;7557000;5093000
Ko-094-557;7557000;5094000
Ko-095-557;7557000;5095000
Ko-096-557;7557000;5096000
Ko-097-557;7557000;5097000
Ko-098-557;7557000;5098000
Ko-099-557;7557000;5099000
Ko-100-557;7557000;5100000
Ko-101-557;7557000;5101000
Ko-102-557;7557000;5102000
Ko-103-557;7557000;5103000
Ko-104-557;7557000;5104000
Ko-105-557;7557000;5105000
Ko-106-557;7557000;5106000
Ko-107-557;7557000;5107000
Ko-108-557;7557000;5108000
Ko-109-557;7557000;5109000
Ko-110-557;7557000;5110000
Ko-111-557;7557000;5111000
Ko-112-557;7557000;5112000
Ko-113-557;7557000;5113000
Ko-114-557;7557000;5114000
Ko-082-558;7558000;5082000
Ko-083-558;7558000;5083000
Ko-084-558;7558000;5084000
Ko-085-558;7558000;5085000
Ko-086-558;7558000;5086000
Ko-087-558;7558000;5087000
Ko-088-558;7558000;5088000
Ko-089-558;7558000;5089000
Ko-090-558;7558000;5090000
Ko-091-558;7558000;5091000
Ko-092-558;7558000;5092000
Ko-093-558;7558000;5093000
Ko-094-558;7558000;5094000
Ko-095-558;7558000;5095000
Ko-096-558;7558000;5096000
Ko-097-558;7558000;5097000
Ko-098-558;7558000;5098000
Ko-099-558;7558000;5099000
Ko-100-558;7558000;5100000
Ko-101-558;7558000;5101000
Ko-102-558;7558000;5102000
Ko-103-558;7558000;5103000
Ko-104-558;7558000;5104000
Ko-105-558;7558000;5105000
Ko-106-558;7558000;5106000
Ko-107-558;7558000;5107000
Ko-108-558;7558000;5108000
Ko-109-558;7558000;5109000
Ko-110-558;7558000;5110000
Ko-111-558;7558000;5111000
Ko-112-558;7558000;5112000
Ko-113-558;7558000;5113000
Ko-114-558;7558000;5114000
